Country,Region
Afghanistan,Middle East/Central Asia
Albania,Other Europe
Algeria,Africa
Angola,Africa
Antigua and Barbuda,Central America/Caribbean
Argentina,South America
Armenia,Middle East/Central Asia
Australia,Asia-Pacific
Austria,EU-27
Azerbaijan,Middle East/Central Asia
Bahrain,Middle East/Central Asia
Bangladesh,Asia-Pacific
Barbados,Central America/Caribbean
Belarus,Other Europe
Belgium,EU-27
Belize,Central America/Caribbean
Benin,Africa
Bermuda,North America
Bhutan,Asia-Pacific
Bolivia,South America
Bosnia and Herzegovina,Other Europe
Botswana,Africa
Brazil,South America
Brunei Darussalam,Asia-Pacific
Bulgaria,EU-27
Burkina Faso,Africa
Burundi,Africa
Cabo Verde,Africa
Cambodia,Asia-Pacific
Cameroon,Africa
Canada,North America
Central African Republic,Africa
Chad,Africa
Chile,South America
China,Asia-Pacific
Colombia,South America
Comoros,Africa
Congo,Africa
"Congo, Democratic Republic of",Africa
Costa Rica,Central America/Caribbean
Côte d'Ivoire,Africa
Croatia,Other Europe
Cuba,Central America/Caribbean
Cyprus,EU-27
Czech Republic,EU-27
Denmark,EU-27
Djibouti,Africa
Dominica,Central America/Caribbean
Dominican Republic,Central America/Caribbean
Ecuador,South America
Egypt,Africa
El Salvador,Central America/Caribbean
Equatorial Guinea,Africa
Eritrea,Africa
Estonia,EU-27
Eswatini,Africa
Ethiopia,Africa
Fiji,Asia-Pacific
Finland,EU-27
France,EU-27
French Guiana,South America
French Polynesia,Asia-Pacific
Gabon,Africa
Gambia,Africa
Georgia,Middle East/Central Asia
Germany,EU-27
Ghana,Africa
Greece,EU-27
Grenada,Central America/Caribbean
Guadeloupe,Central America/Caribbean
Guatemala,Central America/Caribbean
Guinea,Africa
Guinea-Bissau,Africa
Guyana,South America
Haiti,Central America/Caribbean
Honduras,Central America/Caribbean
Hungary,EU-27
India,Asia-Pacific
Indonesia,Asia-Pacific
"Iran, Islamic Republic of",Middle East/Central Asia
Iraq,Middle East/Central Asia
Ireland,EU-27
Israel,Middle East/Central Asia
Italy,EU-27
Jamaica,Central America/Caribbean
Japan,Asia-Pacific
Jordan,Middle East/Central Asia
Kazakhstan,Middle East/Central Asia
Kenya,Africa
"Korea, Democratic People's Republic of",Asia-Pacific
"Korea, Republic of",Asia-Pacific
Kuwait,Middle East/Central Asia
Kyrgyzstan,Middle East/Central Asia
Lao People's Democratic Republic,Asia-Pacific
Latvia,EU-27
Lebanon,Middle East/Central Asia
Lesotho,Africa
Liberia,Africa
Lithuania,EU-27
Luxembourg,EU-27
Madagascar,Africa
Malawi,Africa
Malaysia,Asia-Pacific
Mali,Africa
Malta,EU-27
Martinique,Central America/Caribbean
Mauritania,Africa
Mauritius,Africa
Mexico,North America
Mongolia,Asia-Pacific
Montenegro,Other Europe
Morocco,Africa
Mozambique,Africa
Myanmar,Asia-Pacific
Namibia,Africa
Nepal,Asia-Pacific
Netherlands,EU-27
New Zealand,Asia-Pacific
Nicaragua,Central America/Caribbean
Niger,Africa
Nigeria,Africa
Norway,Other Europe
Oman,Middle East/Central Asia
Pakistan,Asia-Pacific
Panama,Central America/Caribbean
Papua New Guinea,Asia-Pacific
Paraguay,South America
Peru,South America
Philippines,Asia-Pacific
Poland,EU-27
Portugal,EU-27
Qatar,Middle East/Central Asia
Republic of Moldova,Other Europe
Republic of North Macedonia,Other Europe
Réunion,Africa
Romania,EU-27
Russian Federation,Other Europe
Rwanda,Africa
Saint Lucia,Central America/Caribbean
Saint Vincent and Grenadines,Central America/Caribbean
Samoa,Asia-Pacific
Sao Tome and Principe,Africa
Saudi Arabia,Middle East/Central Asia
Senegal,Africa
Serbia,Other Europe
Sierra Leone,Africa
Singapore,Asia-Pacific
Slovakia,EU-27
Slovenia,EU-27
Solomon Islands,Asia-Pacific
Somalia,Africa
South Africa,Africa
South Sudan,Africa
Spain,EU-27
Sudan,Africa
Suriname,South America
Sweden,EU-27
Switzerland,Other Europe
Syrian Arab Republic,Middle East/Central Asia
Tajikistan,Middle East/Central Asia
"Tanzania, United Republic of",Africa
Thailand,Asia-Pacific
Timor-Leste,Asia-Pacific
Togo,Africa
Tonga,Asia-Pacific
Trinidad and Tobago,Central America/Caribbean
Tunisia,Africa
Turkiye,Middle East/Central Asia
Turkmenistan,Middle East/Central Asia
Uganda,Africa
Ukraine,Other Europe
United Arab Emirates,Middle East/Central Asia
United Kingdom,Other Europe
United States of America,North America
Uruguay,South America
Uzbekistan,Middle East/Central Asia
Vanuatu,Asia-Pacific
"Venezuela, Bolivarian Republic of",South America
Viet Nam,Asia-Pacific
Yemen,Middle East/Central Asia
Zambia,Africa
Zimbabwe,Africa
